[運勢],[願い事],[商い],[学問]
大吉,何でも叶う,起業のチャンス⁉︎,テストで満点取れるかも⁉
大吉,何でも叶う,起業のチャンス⁉,高得点間違いなし
大吉,何でも叶う,繁盛間違いなし︎,テストで満点取れるかも⁉
大吉,何でも叶う,繁盛間違いなし,高得点間違いなし
大吉,願えば叶う,起業のチャンス⁉,テストで満点取れるかも⁉
大吉,願えば叶う,起業のチャンス⁉,高得点間違いなし
大吉,願えば叶う,繁盛間違いなし,テストで満点取れるかも⁉
大吉,願えば叶う,繁盛間違いなし,高得点間違いなし
中吉,文字に起こせば叶うかも,意外なものが売れるかも⁉︎,テストがスラスラ解けそう
中吉,文字に起こせば叶うかも,意外なものが売れるかも⁉︎,先生に褒められるかも
中吉,文字に起こせば叶うかも,お客さんに喜ばれそう,テストがスラスラ解けそう
中吉,文字に起こせば叶うかも,お客さんに喜ばれそう,先生に褒められるかも
中吉,声に出せば叶うかも,意外なものが売れるかも⁉︎,テストがスラスラ解けそう
中吉,声に出せば叶うかも,意外なものが売れるかも⁉︎,先生に褒められるかも
中吉,声に出せば叶うかも,お客さんに喜ばれそう,テストがスラスラ解けそう
中吉,声に出せば叶うかも,お客さんに喜ばれそう,先生に褒められるかも
小吉,頼れる人に話してみて,それなりに売れるでしょう,平均は超えるでしょう
小吉,頼れる人に話してみて,それなりに売れるでしょう,平均です
小吉,頼れる人に話してみて,五分五分です,平均は超えるでしょう
小吉,頼れる人に話してみて,五分五分です,平均です
小吉,五分五分です,それなりに売れるでしょう,平均は超えるでしょう
小吉,五分五分です,それなりに売れるでしょう,平均です
小吉,五分五分です,五分五分です,平均は超えるでしょう
小吉,五分五分です,五分五分です,平均です
末吉,普通です,普通です,ギリ平均？
末吉,普通です,普通です,微妙かも
末吉,普通です,微妙かも,ギリ平均？
末吉,普通です,微妙かも,微妙かも
末吉,微妙かも,普通です,ギリ平均？
末吉,微妙かも,普通です,微妙かも
末吉,微妙かも,微妙かも,ギリ平均？
末吉,微妙かも,微妙かも,微妙かも
吉,難しい,難しい,難しい
吉,難しい,難しい,厳しいです
吉,難しい,厳しいです,難しい
吉,難しい,厳しいです,厳しいです
吉,厳しいです,難しい,難しい
吉,厳しいです,難しい,厳しいです
吉,厳しいです,厳しいです,難しい
吉,厳しいです,厳しいです,厳しいです
凶,現実を見ましょう,売れない日です,赤点かも
凶,現実を見ましょう,売れない日です,頭を冷やして
凶,現実を見ましょう,詐欺にあうかも,赤点かも
凶,諦めも肝心,詐欺にあうかも,赤点かも
凶,諦めも肝心,売れない日です,頭を冷やして
凶,諦めも肝心,詐欺にあうかも,頭を冷やして
凶,現実を見ましょう,詐欺にあうかも,頭を冷やして
凶,叶いません,あきらめましょう,残念です
